OI    0 | data   0.0ms | trace.update   1.9ms | get_mask  41.5ms | normalize   9.7ms | set_roi   4.0ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  58.0ms
ROI    1 | data   0.0ms | trace.update   4.6ms | get_mask   0.9ms | normalize  11.2ms | set_roi   2.5ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  19.9ms
ROI    2 | data   0.0ms | trace.update   4.7ms | get_mask   0.9ms | normalize   8.9ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  17.7ms
ROI    3 | data   0.0ms | trace.update   4.4ms | get_mask   0.7ms | normalize   7.7ms | set_roi   2.5ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.0ms
ROI    4 | data   0.0ms | trace.update   4.3ms | get_mask   0.7ms | normalize   7.7ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.8ms
ROI    5 | data   0.0ms | trace.update   5.5ms | get_mask   1.0ms | normalize   9.4ms | set_roi   3.3ms | mark_roi   0.5ms | curation   0.5ms | TOTAL  20.4ms
ROI    6 | data   0.0ms | trace.update   5.7ms | get_mask   0.9ms | normalize   8.6ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  18.2ms
ROI    7 | data   0.0ms | trace.update   4.2ms | get_mask   0.7ms | normalize   7.9ms | set_roi   2.5ms | mark_roi   0.3ms | curation   0.4ms | TOTAL  16.0ms
ROI    8 | data   0.0ms | trace.update   4.5ms | get_mask   0.9ms | normalize   8.0ms | set_roi   3.1ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  17.4ms
ROI    9 | data   0.0ms | trace.update   5.8ms | get_mask   0.9ms | normalize   9.8ms | set_roi   3.2ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  20.5ms
ROI   10 | data   0.0ms | trace.update   5.6ms | get_mask   0.9ms | normalize   7.9ms | set_roi   2.3ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  17.3ms
ROI   11 | data   0.0ms | trace.update   4.4ms | get_mask   0.6ms | normalize   7.7ms | set_roi   2.3ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.8ms
ROI   12 | data   0.0ms | trace.update   4.6ms | get_mask   0.8ms | normalize   9.4ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  18.0ms
ROI   13 | data   0.0ms | trace.update   4.6ms | get_mask   0.7ms | normalize   7.7ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.1ms
ROI   14 | data   0.0ms | trace.update   4.7ms | get_mask   0.8ms | normalize   8.0ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.4ms | TOTAL  16.5ms
ROI   15 | data   0.0ms | trace.update   4.6ms | get_mask   0.8ms | normalize   7.9ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  16.5ms
ROI   16 | data   0.0ms | trace.update   4.5ms | get_mask   0.7ms | normalize   7.7ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.0ms
ROI   17 | data   0.0ms | trace.update   4.3ms | get_mask   0.8ms | normalize   8.4ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  16.5ms
ROI   18 | data   0.0ms | trace.update   4.6ms | get_mask   0.8ms | normalize   7.9ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | TOTAL  16.5ms
ROI   19 | data   0.0ms | trace.update   4.3ms | get_mask   0.7ms | normalize   7.6ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.6ms
ROI   20 | data   0.0ms | trace.update   4.3ms | get_mask   0.7ms | normalize   7.6ms | set_roi   2.6ms | mark_roi   0.3ms | curation   0.3ms | TOTAL  15.8ms
