ROI    0 | data   0.0ms | trace.update   1.9ms | get_mask  41.2ms | normalize   0.0ms | set_roi   3.7ms | mark_roi   0.4ms | curation   0.5ms | PAINT   9.6ms | TOTAL  57.3ms
ROI   13 | data   0.0ms | trace.update   4.5ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.3ms | PAINT 407.2ms | TOTAL 415.7ms
ROI   12 | data   0.0ms | trace.update   4.4ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.5ms | mark_roi   0.4ms | curation   0.5ms | PAINT 996.9ms | TOTAL 1005.5ms
ROI   11 | data   0.0ms | trace.update   4.4ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.5ms | PAINT 1567.4ms | TOTAL 1575.9ms
ROI   10 | data   0.0ms | trace.update   4.5ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.4ms | PAINT 2062.2ms | TOTAL 2070.7ms
ROI    9 | data   0.0ms | trace.update   4.4ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.5ms | mark_roi   0.3ms | curation   0.4ms | PAINT 3695.9ms | TOTAL 3704.4ms
ROI    8 | data   0.0ms | trace.update   4.5ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | PAINT 6687.1ms | TOTAL 6695.5ms
ROI    7 | data   0.0ms | trace.update   4.6ms | get_mask   0.9ms | normalize   0.0ms | set_roi   2.5ms | mark_roi   0.4ms | curation   0.3ms | PAINT 7826.3ms | TOTAL 7835.1ms
ROI    6 | data   0.0ms | trace.update   4.5ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | PAINT 11279.7ms | TOTAL 11288.3ms
ROI    5 | data   0.0ms | trace.update   4.6ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.4ms | PAINT 14060.2ms | TOTAL 14068.8ms
ROI    4 | data   0.0ms | trace.update   4.5ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.4ms | curation   0.3ms | PAINT 15487.1ms | TOTAL 15495.6ms
ROI    3 | data   0.0ms | trace.update   4.5ms | get_mask   0.8ms | normalize   0.0ms | set_roi   2.4ms | mark_roi   0.3ms | curation   0.4ms | PAINT 18071.9ms | TOTAL 18080.4ms
ROI    2 | data   0.0ms | trace.update   4.7ms | get_mask   0.9ms | normalize   0.0ms | set_roi   2.5ms | mark_roi   0.4ms | curation   0.3ms | PAINT 19069.3ms | TOTAL 19078.1ms
ROI    1 | data   0.0ms | trace.update   4.7ms | get_mask   0.9ms | normalize   0.0ms | set_roi   2.5ms | mark_roi   0.4ms | curation   0.4ms | PAINT 20208.7ms | TOTAL 20217.5ms
