session,roi_idx,best_cpos,best_cneg,combo_label,best_dist_norm,best_med_neg,target,noise,skewness,snr,bleaching,sustained
755252_2024-12-19,368,2,5,"(2,5)",0.2752,87.18603515625,147.35070974731445,218.62123107910156,-0.27151161432266235,6.293744087219238,1.5140447616577148,1.3260079622268677
755252_2024-12-10,58,2,5,"(2,5)",0.2742,111.2802734375,79.1010929260254,117.36067199707031,0.5388697981834412,10.278583526611328,2.534723997116089,0.4307880997657776
804670_2025-09-27,153,2,5,"(2,5)",0.2405,185.2685546875,136.5480332336426,202.59352111816406,0.23068344593048096,11.229999542236328,2.055325746536255,1.1040297746658325
804670_2025-09-27,133,2,5,"(2,5)",0.2219,147.4290771484375,110.91484732055665,164.5620880126953,-0.07110238075256348,7.019960403442383,1.9331516027450562,1.6350141763687134
804670_2025-09-13,142,2,5,"(2,5)",0.2154,127.953125,96.96138330078125,143.859619140625,-0.0640440508723259,5.622249126434326,0.03276020288467407,1.2275747060775757
804670_2025-09-20,245,2,5,"(2,5)",0.2137,132.619873046875,100.69035083007813,149.3922119140625,0.07715806365013123,6.207764625549316,0.9531856179237366,1.3603662252426147
804670_2025-09-10,213,2,5,"(2,5)",0.2124,183.1390380859375,139.259686126709,206.6167449951172,-0.27986207604408264,9.197076797485352,-0.19292932748794556,0.9461202025413513
804670_2025-09-20,243,2,5,"(2,5)",0.2085,197.353271484375,150.73106616210939,223.6365966796875,-0.06534234434366226,9.363761901855469,0.3327482342720032,1.0948020219802856
804670_2025-09-23,220,2,5,"(2,5)",0.2079,215.362548828125,164.5996322631836,244.21310424804688,-0.14094749093055725,6.946249008178711,-0.4164637625217438,0.8816096782684326
804670_2025-09-27,131,2,5,"(2,5)",0.1973,138.65478515625,107.25320162963868,159.12937927246094,0.009054235182702541,9.511693954467773,1.9772377014160156,1.3707261085510254
804670_2025-09-27,257,2,5,"(2,5)",0.1947,101.64410400390625,78.8639598236084,117.00884246826172,0.06386414170265198,6.4803314208984375,1.4233840703964233,1.1035089492797852
755252_2024-12-10,540,2,5,"(2,5)",0.1892,116.0435791015625,90.6051671447754,134.4290313720703,0.020794639363884926,5.879420280456543,0.36811548471450806,1.1238137483596802
804670_2025-09-23,31,2,5,"(2,5)",0.1892,155.19647216796875,121.17281961059571,179.78163146972656,0.29062575101852417,8.14797592163086,0.08928890526294708,0.7842970490455627
755252_2024-12-10,483,2,5,"(2,5)",0.1891,144.999267578125,113.23505447387696,168.00453186035156,-0.0368817001581192,6.281430721282959,-0.7818626761436462,1.1857426166534424
804670_2025-09-23,352,2,5,"(2,5)",0.1861,187.574462890625,146.9908680419922,218.08734130859375,-0.17473679780960083,5.890988826751709,0.5578441619873047,1.0476329326629639
804670_2025-09-18,92,2,5,"(2,5)",0.1861,184.4962158203125,144.57051116943362,214.49630737304688,0.027907595038414,6.12921142578125,1.1524460315704346,1.1819714307785034
755252_2024-12-19,508,2,5,"(2,5)",0.185,155.80908203125,122.25229330444337,181.3832244873047,-0.3519945740699768,5.590132236480713,-0.10525452345609665,1.210732102394104
804670_2025-09-10,84,2,5,"(2,5)",0.1832,71.597900390625,56.29836042785645,83.52872467041016,-0.33009421825408936,6.524923801422119,-0.029067520052194595,0.806829035282135
804670_2025-09-19,353,2,5,"(2,5)",0.1824,215.4171142578125,169.53061239624026,251.5290985107422,0.004067182540893555,5.91358757019043,0.5120341777801514,1.0823317766189575
804670_2025-09-18,361,2,5,"(2,5)",0.1818,193.91851806640625,152.73107806396484,226.60397338867188,-0.11905403435230255,4.6184186935424805,2.0032382011413574,1.2565240859985352
