session_key,roi_index,winner,runner_up,winner_dist,runner_up_dist
755252_2025-01-08,2,c33,c45,0.013,0.155
755252_2025-01-14,2,c33,c45,0.0345,0.2669
755252_2024-11-13,20,c33,c45,0.0449,0.0848
755252_2025-01-13,111,c33,c45,0.0638,0.3091
755252_2025-01-14,386,c33,c45,0.0657,0.0687
755252_2024-11-14,20,c33,c45,0.0791,0.0836
755252_2025-01-14,238,c33,c45,0.0795,0.2068
755252_2024-11-21,4,c33,c45,0.0801,0.1403
755252_2025-01-08,224,c33,c45,0.1116,0.1484
755252_2024-11-21,20,c33,c45,0.115,0.1562
755252_2025-01-14,413,c33,c45,0.1494,0.2943
755252_2025-01-13,7,c33,c45,0.1741,0.287
755252_2025-01-08,1,c33,c45,0.1988,0.252
755252_2025-01-08,377,c33,c45,0.2,2.5702
755252_2025-01-08,204,c33,c45,0.2137,0.3977
755252_2025-01-08,81,c33,c45,0.2563,0.3345
755252_2025-01-08,30,c33,c45,0.2842,0.3078
755252_2025-01-08,108,c33,c45,0.305,0.3997
755252_2024-11-12,217,c33,c45,0.3131,0.5687
755252_2025-01-13,8,c33,c45,0.3269,0.4118
755252_2024-11-12,111,c33,c45,0.3403,0.4942
755252_2025-01-08,73,c33,c45,0.3439,0.4939
755252_2025-01-08,3,c33,c45,0.3662,0.4398
804670_2025-10-02,379,c33,c34,0.368,3.225
804670_2025-09-17,390,c33,c34,0.449,2.8189
755252_2024-12-13,0,c33,c45,0.6392,0.7408
804670_2025-09-11,396,c33,c34,0.6832,2.521
804670_2025-09-10,375,c33,c34,0.7299,3.2189
755252_2024-11-21,16,c33,c45,0.7609,0.7954
755252_2024-11-18,192,c33,c34,0.846,0.9073
804670_2025-10-01,391,c33,c34,0.9563,2.0213
804670_2025-09-18,396,c33,c34,1.6077,2.5256
804670_2025-09-19,391,c33,c34,1.6832,1.7422
804670_2025-09-12,379,c33,c34,1.8026,2.1501
804670_2025-10-01,381,c33,c45,2.0251,3.1494
804670_2025-09-13,394,c33,c34,2.7144,6.3412
755252_2024-11-22,247,c33,c45,43.2417,45.4767
755252_2024-11-12,75,c45,c33,0.0047,0.0426
755252_2024-11-12,270,c45,c33,0.007,0.3255
755252_2025-01-14,87,c45,c33,0.033,0.035
755252_2025-01-14,246,c45,c33,0.1146,0.1868
755252_2024-11-15,209,c45,c33,0.1213,0.4273
755252_2025-01-08,174,c45,c33,0.143,0.33
755252_2024-12-20,266,c45,c33,0.1619,0.2633
755252_2024-12-03,505,c45,c33,0.1954,0.8847
755252_2024-12-18,95,c45,c33,0.2097,0.3563
755252_2025-01-08,217,c45,c33,0.2261,0.3134
755252_2024-12-03,34,c45,c33,0.2276,0.5024
755252_2024-11-21,69,c45,c33,0.2422,0.5273
755252_2025-01-14,144,c45,c33,0.2429,0.2592
755252_2024-12-05,129,c45,c33,0.2558,0.4214
755252_2024-12-03,2,c45,c33,0.2668,0.4683
755252_2024-12-20,26,c45,c33,0.2792,0.46
755252_2024-11-18,145,c45,c33,0.2837,0.4016
755252_2024-11-19,90,c45,c33,0.3051,0.7651
755252_2024-11-15,308,c45,c33,0.3115,0.6698
755252_2024-11-18,418,c45,c33,0.3142,0.9461
755252_2025-01-07,401,c45,c33,0.3155,0.6186
755252_2024-11-15,79,c45,c33,0.3235,0.5094
755252_2024-11-14,36,c45,c33,0.3286,0.5024
755252_2024-11-14,435,c45,c34,0.3332,0.727
755252_2025-01-14,228,c45,c33,0.3356,0.4678
755252_2024-12-20,403,c45,c33,0.3479,0.8035
755252_2025-01-14,94,c45,c33,0.3479,0.4157
755252_2024-12-06,19,c45,c33,0.3481,1.0272
755252_2024-11-22,23,c45,c33,0.3486,0.3964
804670_2025-09-17,108,c45,c33,0.3561,0.6604
755252_2024-11-14,32,c45,c33,0.3609,0.4916
755252_2024-12-17,422,c45,c33,0.3678,0.9373
804670_2025-09-10,97,c45,c34,0.3684,0.53
755252_2024-12-04,75,c45,c34,0.3778,0.6066
755252_2024-12-03,212,c45,c33,0.393,0.9422
755252_2024-11-21,117,c45,c33,0.3984,0.4722
755252_2025-01-08,57,c45,c33,0.3985,0.4397
755252_2024-12-04,85,c45,c33,0.3989,0.5364
755252_2024-12-18,88,c45,c33,0.3995,0.4553
755252_2024-11-14,82,c45,c34,0.404,0.647
755252_2025-01-14,201,c45,c33,0.4053,0.6678
755252_2024-12-18,66,c45,c33,0.4076,0.5395
755252_2024-11-14,22,c45,c34,0.411,0.5714
755252_2024-11-12,26,c45,c34,0.4187,0.4406
755252_2024-11-18,84,c45,c33,0.4223,0.6831
755252_2024-11-18,293,c45,c33,0.4233,0.5462
755252_2024-11-21,2,c45,c33,0.4268,0.5295
755252_2024-11-15,70,c45,c34,0.4359,0.5529
755252_2025-01-14,478,c45,c33,0.4394,0.6347
755252_2024-11-22,27,c45,c34,0.4468,0.6374
755252_2025-01-07,423,c45,c33,0.4525,0.7692
755252_2024-12-18,67,c45,c33,0.4538,0.5028
755252_2024-11-12,487,c45,c33,0.4552,0.4806
755252_2024-12-09,415,c45,c33,0.4591,0.799
755252_2025-01-14,357,c45,c33,0.4598,0.6332
804670_2025-09-27,132,c45,c33,0.4609,0.6171
755252_2024-12-03,102,c45,c33,0.4619,0.9001
755252_2024-11-15,494,c45,c34,0.464,0.5011
755252_2024-12-11,54,c45,c33,0.466,1.1047
755252_2025-01-08,209,c45,c33,0.4683,0.4788
755252_2025-01-14,244,c45,c33,0.469,0.5876
755252_2024-12-03,32,c45,c33,0.4694,0.8124
755252_2024-11-13,25,c45,c34,0.4716,0.4888
755252_2024-11-19,21,c45,c34,0.4786,0.5269
755252_2025-01-07,132,c45,c33,0.4835,0.5618
755252_2025-01-13,397,c45,c33,0.4872,0.7382
755252_2024-12-03,426,c45,c34,0.4884,0.738
755252_2025-01-08,341,c45,c34,0.4917,0.646
755252_2024-11-21,50,c45,c33,0.4942,0.5542
755252_2024-11-12,387,c45,c33,0.4976,0.6226
755252_2025-01-07,395,c45,c33,0.5049,0.7808
755252_2024-12-18,400,c45,c34,0.5052,0.8146
755252_2024-11-19,268,c45,c33,0.5075,0.5389
755252_2025-01-13,313,c45,c34,0.514,0.6431
755252_2024-12-05,9,c45,c34,0.5152,0.7135
755252_2024-11-15,118,c45,c33,0.5213,0.7101
755252_2024-12-18,101,c45,c34,0.5231,0.8021
755252_2025-01-14,89,c45,c33,0.5233,0.7061
755252_2024-11-14,73,c45,c33,0.5261,0.7214
755252_2024-11-14,246,c45,c34,0.5337,0.6074
755252_2025-01-14,476,c45,c33,0.5374,0.8716
